replication_id,method,absolute_relative_q99_error_pct
182,TAIL,4.90910523324737
183,EMP,14.49339617782539
183,KDE,21.95271564392443
183,TAIL,14.51043824982396
184,EMP,26.80638897010902
184,KDE,24.03449422206817
184,TAIL,18.75728526524724
185,EMP,21.61630719753641
185,KDE,18.04050571816754
185,TAIL,18.9472174935938
186,EMP,40.07322271624757
186,KDE,48.67027856419417
186,TAIL,0.40423550267376
187,EMP,15.18906796096686
187,KDE,11.2770668840293
187,TAIL,1.71268734096254
188,EMP,32.07962838682424
188,KDE,39.14614483154415
188,TAIL,21.53020155912096
189,EMP,34.095865758301194
189,KDE,30.57197380377184
189,TAIL,25.93819303259947
190,EMP,12.29395157633083
190,KDE,8.52008381321878
190,TAIL,6.68587907000522
191,EMP,22.8735818514959
191,KDE,18.455018960816748
191,TAIL,7.729726073092189
192,EMP,25.6013915096099
192,KDE,22.00768264471798
192,TAIL,18.34615586290515
193,EMP,18.64855342489891
193,KDE,14.64401705965798
193,TAIL,5.23232758868578
194,EMP,29.04070505242715
194,KDE,26.21592324525192
194,TAIL,20.86504502597604
195,EMP,1.05596827265029
195,KDE,4.27814562805231
195,TAIL,5.06707899513716
196,EMP,31.1442598347274
196,KDE,38.51618194981479
196,TAIL,6.36270959443896
197,EMP,4.95441031380598
197,KDE,1.69518863378818
197,TAIL,13.186936436643007
198,EMP,14.56887660833498
198,KDE,10.39526255098879
198,TAIL,7.75325744464502
199,EMP,10.83237310564615
199,KDE,5.96406017190554
199,TAIL,11.32281430696992
