distribution,replication_id,cell_id,solution_location,candidate_cost_cny,independent_cost_cny,grid_cost_cny,grid_points,excess_cost_cny,grid_excess_cny
GAUSSIAN,8,STRESS_ACTUAL_NEAR,lower,5082818.489197224,5082818.489197224,5082818.489197224,10001,0.0,0.0
EMP,8,STRESS_ACTUAL_NEAR,lower,5066993.009939054,5066993.009939054,5066993.009939054,10001,0.0,0.0
GAUSSIAN,8,STRESS_CONTRACT_NEAR_LOW,lower,5068538.44113091,5068538.44113091,5068538.44113091,10001,0.0,0.0
EMP,8,STRESS_CONTRACT_NEAR_LOW,lower,5054584.08702283,5054584.08702283,5054584.08702283,10001,0.0,0.0
GAUSSIAN,8,STRESS_CONTRACT_CLEAR,interior,5042148.744539667,5042148.744539667,5042148.747071377,10001,0.0,0.0025317100808024
EMP,8,STRESS_CONTRACT_CLEAR,interior,5037198.481742943,5037198.481742943,5037198.481742943,10001,0.0,0.0
GAUSSIAN,8,STRESS_CONTRACT_NEAR_HIGH,interior,5042148.744539667,5042148.744539667,5042148.749052466,10001,0.0,0.0045127989724278
EMP,8,STRESS_CONTRACT_NEAR_HIGH,interior,5037198.481742943,5037198.481742943,5037198.481742943,10001,0.0,0.0
GAUSSIAN,8,STRESS_CAPACITY_NEAR,interior,5042148.744539667,5042148.744539667,5042148.751557594,10001,0.0,0.0070179272443056
EMP,8,STRESS_CAPACITY_NEAR,interior,5037198.481742943,5037198.481742943,5037198.481742943,10001,0.0,0.0
GAUSSIAN,8,STRESS_CAPACITY_CLEAR,interior,5042148.744539667,5042148.744539667,5042148.750580877,10001,0.0,0.0060412101447582
EMP,8,STRESS_CAPACITY_CLEAR,interior,5037198.481742943,5037198.481742943,5037198.481742943,10001,0.0,0.0
GAUSSIAN,9,BASE_ACTUAL_NEAR,interior,6128463.881062268,6128463.881062269,6128463.91078506,10001,0.0,0.029722792096436
EMP,9,BASE_ACTUAL_NEAR,interior,6107425.069434175,6107425.069434175,6107427.147346107,10001,0.0,2.0779119320213795
GAUSSIAN,9,BASE_CAPACITY_NEAR,interior,6128463.881062268,6128463.881062268,6128463.900518482,10001,0.0,0.0194562133401632
EMP,9,BASE_CAPACITY_NEAR,interior,6107425.069434175,6107425.069434175,6107426.327611335,10001,0.0,1.2581771593540907
