replication_id,method_id,q99_relative_error,mean_relative_error,stoploss_relative_error,regret_cny_per_month
44,EMP,0.2155197032944388,0.0405848028953178,0.3851200084804497,38763.42220823249
44,EVENT-EMP,0.2155197032944388,0.0412130802939212,0.43436154833948515,15593.55565443635
44,GEV,0.1022217985210666,0.0405848062736192,0.3736731143981288,13868.766676095316
44,KDE,0.1787924052671277,0.0405848028953178,0.30095054468398597,8999.746848194549
44,TAIL,0.1395460778771965,0.036945891345355,0.38638236680384014,10745.901532289261
45,EMP,0.0502322778516111,0.0343385820620324,0.5292940180592995,14817.900658757942
45,EVENT-EMP,0.0502322778516111,0.0528898704364167,0.6125801190315793,14817.900658757942
45,GEV,0.2566313911845064,0.034304633513363,0.5077324869459461,14817.900658757942
45,KDE,0.0221776179211618,0.0343385889485785,0.7355777404227604,14817.900658757942
45,TAIL,0.1440367797970862,0.0435811441863642,0.4615969028466654,14817.900658757942
46,EMP,0.1734373179583904,0.0175875795387579,0.16879454221884316,13499.961548449368
46,EVENT-EMP,0.1734373179583904,0.009887968952012,0.1467761728483661,14817.900658757942
46,GEV,0.0555682315129785,0.0175875795387568,0.18090649327314198,14817.900658757942
46,KDE,0.1104718875050938,0.017587579613643,0.3180221768120187,14817.900658757942
46,TAIL,0.0581536530639223,0.0100993172127953,0.13942090641131358,14817.900658757942
47,EMP,0.0801011054203313,0.0349054611419015,0.15504814211544315,28785.54529624184
47,EVENT-EMP,0.0801011054203313,0.0327853289194337,0.22839524335304245,12933.434318638097
47,GEV,0.026697414292601,0.0349054611630947,0.1151974723358982,28785.54529624184
47,KDE,0.0327157245671724,0.0349054610550128,0.01809016589875168,28785.54529624184
47,TAIL,0.059700294136678,0.0347724151590411,0.26587186925699935,12121.928721259037
48,EMP,0.1367259985862239,0.0357812137137762,0.4749092132615034,14817.900658757942
48,EVENT-EMP,0.1367259985862239,0.042631871067233,0.48096671761099535,14817.900658757942
48,GEV,0.2621957216494366,0.0357540285936832,0.5416201790162576,14817.900658757942
48,KDE,0.2006445079489033,0.0357814053207642,0.7805657254134818,14817.900658757942
48,TAIL,0.2669786496677316,0.0525080614204167,0.6829476936934318,14817.900658757942
49,EMP,0.3126565838474804,0.0527056458827566,0.5338323342629226,7884.0998756180825
49,EVENT-EMP,0.3126565838474804,0.0327550846145644,0.5191079695566062,14792.551210587533
49,GEV,0.2754255655327401,0.0527056458912063,0.5182287217693745,7960.942389611465
49,KDE,0.262151778703766,0.0527056458827566,0.4317090050521351,8157.909273409906
49,TAIL,0.0176703677259325,0.022089912621571,0.15073446432763482,11105.462880990779
50,EMP,0.2799026354545646,0.0417141580392061,0.5835811801881068,74412.26735960733
50,EVENT-EMP,0.2799026354545646,0.0469037071850269,0.5504416358130448,11255.061958740465
50,GEV,0.2121070270133422,0.0417141580392069,0.5622689215454422,11300.282753526233
50,KDE,0.2430540993664262,0.0417141580392061,0.5007973141767083,9499.235098117031
50,TAIL,0.1743454701466822,0.0472373886478391,0.4806770953847943,12733.534407756913
51,EMP,0.0980455766673755,0.0268727167226012,0.1268172028423819,14051.307577571417
51,EVENT-EMP,0.0980455766673755,0.0362952424138363,0.2009247108322737,14051.307577571417
51,GEV,0.0042955897420225,0.0268727167135808,0.1690804206856661,14051.307577571417
51,KDE,0.0516999274401775,0.0268727167476379,0.3097300272340898,14817.900658757942
51,TAIL,0.0614645441353152,0.0387120649693917,0.30873387906699623,14051.307577571417
52,EMP,0.166194189251521,0.0225531537830485,0.05130130940372277,28785.54529624184
52,EVENT-EMP,0.166194189251521,0.0075585373412746,0.044257696374848304,10036.11448167906
52,GEV,0.0826058701850125,0.0225595516230265,0.058952023134341926,14519.940640544519
52,KDE,0.1106750164749382,0.0225531537786328,0.12035872948951296,28785.54529624184
52,TAIL,0.0239683993325143,0.0105634068396043,0.09641537953612934,8276.216927184103
53,EMP,0.0940205569566911,0.0060218291715182,0.04396701343559811,6615.724531624157
