replication_id,training_months,xi_bias,sigma_relative_bias,q99_relative_error
108,24,-0.0040052599128433,-0.106903261606283,-0.0684621206049416
108,60,0.0201388222561237,-0.1447054433018992,-0.0587035538851597
109,12,0.0694405576255661,0.093308803792784,0.3639957259103257
109,24,-0.0797518035706616,0.179155738829865,-0.0566493380021597
109,60,0.0488851377264442,-0.0594719641254704,0.1408802188755056
110,12,0.0526648525062242,0.044819360372629,0.1697470430398513
110,24,0.0762306126600291,-0.1198128386008396,0.1146122262722512
110,60,0.0379005891105438,-0.0154233527905358,0.1138116823614503
111,12,0.0297032709193514,-0.0097913227733159,0.032251279499036
111,24,-0.0077067385267197,0.0671154036984179,0.0289883690104657
111,60,-0.0352983405359342,0.0015543045168474,-0.1110166192022917
112,12,0.0984329765830591,-0.1119571918816911,0.2746634962392123
112,24,0.0548683779369927,-0.0397707308751752,0.1799507589514058
112,60,0.0146545436814619,0.0037245413812718,0.0066468594312356
113,12,0.1808869321224554,-0.0833541516469897,0.682069003730287
113,24,0.0813482260215869,0.0309163889678037,0.4352175167198117
113,60,0.0407738741459136,0.0082392791298414,0.2052258047816155
114,12,-0.0344983959191765,0.0921505509877629,-0.046786623770991
114,24,0.0319024389238833,-0.1060911647144636,0.0006414080761929
114,60,-0.1096744118221423,0.0969295065556506,-0.1672541869506181
115,12,0.10756204970829,-0.041775956564034,0.4472837552162171
115,24,0.030429692195261,-0.0013852274632697,0.1149641199576289
115,60,0.0221607286404998,-0.0296179038737383,0.0387222211437277
116,12,-0.0872414325781159,0.2058157736411804,-0.1126033376486994
116,24,-0.0274748392422145,-0.0429626429532796,-0.0719077048829092
116,60,-0.0205364657493569,0.0003208442227875,-0.0272409707419358
117,12,0.1363180088139585,-0.1732951259850322,0.496909558263413
117,24,0.0840919552143039,-0.1160054714949738,0.2450118676462811
117,60,0.0272713233730809,-0.047018836404807,0.0951134293091252
118,12,0.0678638028035801,-0.2431388676971549,0.0480068277628061
118,24,-0.0495051456377589,0.0768400666752878,-0.0941696489226985
118,60,-0.0211942546281311,0.0574653844344533,-0.0073921072070763
119,12,-0.1301062224744931,0.1108610730753776,-0.2131977329546003
119,24,-0.0221411960177952,-0.037221893255663,-0.0517380663658295
119,60,0.0442822393055321,-0.0166375418658071,0.1025410880483707
120,12,0.1204143436976038,-0.0556659143930344,0.3925018151144366
120,24,0.1100208161259807,-0.0370057185770754,0.3387139790615932
120,60,0.0358889408528365,-0.0716415282098816,0.0544608271522073
121,12,-0.0428959522941388,-0.0468351422916215,-0.0775710107592586
121,24,0.0293273649261296,-0.0014793085544117,0.0669509103181789
121,60,0.0112145736565003,-0.0096113981095482,0.018763742413892
122,12,-0.0194836009948254,0.0775054295185941,-0.0297221300110744
122,24,0.0222864399940707,-0.0329246137648545,0.0458406477753534
122,60,-0.0373159961666837,0.0727512382855047,-0.0267850666765694
123,12,-0.1040850850204673,0.0674593221579865,-0.2013225161060902
123,24,-0.0778391623895437,0.1322328728786633,-0.1146421649138196
123,60,0.030862031922224,-0.0322420461667337,0.0601975510643437
124,12,0.1065227962046299,-0.1607734518810795,0.2097257977289473
124,24,0.0545241813563376,0.0131553936026042,0.1623512642926136
124,60,0.0309510885513498,0.0143107176774568,0.083421165750558
125,12,-0.050742531904957,0.0679048634026003,-0.0981515289514032
125,24,-0.0383930837021902,0.0601910481773961,-0.0440455875315358
125,60,-0.0382271624677499,0.0080956542284002,-0.0572643923265632
126,12,0.1119870802278269,-0.1659707801430777,0.3340112531450939
126,24,0.0221271801079682,0.0940720003760336,0.087330551786935
126,60,0.0120340522154578,-0.0144564284098674,0.0378624752676968
127,12,-0.0738357009922859,0.0973368467150027,-0.1440387467369806
127,24,-0.011756241376207,0.0306083693620336,-0.0005355159721709
127,60,0.0128796518721001,0.0236801585061212,0.043076261246901
128,12,0.0402848773502534,-0.057720392684949,0.1112519423717305
128,24,0.0653350633337365,0.0738542303145909,0.2673487318473896
128,60,0.0395121556537209,-0.0405903783196233,0.0483944063582811
129,12,-0.0435014222109422,0.0713961392510768,-0.0878106631196506
129,24,0.0825466704932248,-0.0722178044586812,0.2024840256941383
129,60,0.0163134311323439,0.0326301687581448,0.066019492757088
130,12,0.1139241813815418,-0.1809621558884009,0.2292658945307298
130,24,-0.0144216156442974,-0.0152961680564817,-0.0365275542096318
130,60,-0.0400979681205086,0.0579568477778628,-0.026790974624536
131,12,0.0895122693731631,-0.1199018374289313,0.2580516917736993
131,24,0.0030183408663584,-0.0106088124530588,-0.032890730006962
131,60,-0.0254840667742651,0.0260138741191957,-0.014625526161245
132,12,-0.0887625032620296,0.0340094820177288,-0.1877016032816686
132,24,-0.0725027908402407,-0.0846493221288804,-0.2257336825198289
132,60,-0.0199612220871655,-0.0654703910124595,-0.0795544870633883
133,12,-0.0729214077305973,-0.0860629795626322,-0.2066644558684238
133,24,-0.0171334978266162,-0.0861303071452315,-0.088970236084463
133,60,0.0040660227651341,-0.0436499924973722,-0.0371527954391481
134,12,-0.1683256103290752,0.2659185459596233,-0.2205682421390358
134,24,-0.1365490367299513,0.2188181383328985,-0.1549194676410751
134,60,-0.1052158220650057,0.1419870995015012,-0.1045185281102156
135,12,0.0440016603123287,-0.0741127009818609,0.131339697315042
135,24,0.0125024866447969,0.0517545823724327,0.0944390102168858
135,60,0.0003293877740402,-0.0073916620903182,-0.0089409715801151
136,12,-0.0119805449722464,0.0104520590898298,-0.010675343697338
136,24,-0.0124580252446147,-0.0041552210683133,0.0046673606614796
136,60,-0.0440392175815895,0.0619767519143079,-0.0782353846983021
137,12,-0.155945083128876,0.0502476862973561,-0.3260337390577606
137,24,-0.0861446372462412,-0.2680213983167525,-0.2864010848757468
137,60,0.0008039592292083,-0.0211411318709396,0.0177905964384928
138,12,-0.0345012203072598,0.0179726996417367,-0.0764565811372521
138,24,-0.1010768699555254,0.0496156117301031,-0.1445069193026311
138,60,-0.0714612014580007,0.0119420232633636,-0.1424165417277549
139,12,-0.0410447460402621,0.1147589656689483,-0.056627891835813
139,24,-0.0752894786548694,0.0291391256013478,-0.1426210772007249
