replication_id,physical_scenario_id,training_months,method_id,regret_scaled
7,T6_CLUSTERED,12,KDE-MC-JOINT,0.19553981536944143
7,T6_CLUSTERED,12,TAIL-JOINT,2.5352777968156746
7,T6_CLUSTERED,12,TAIL-NODECLUSTER,2.38188954995883
7,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.0023315731520626775
7,T6_CLUSTERED,24,EMP-JOINT,0.017803948741123253
7,T6_CLUSTERED,24,KDE-MC-JOINT,0.0023315731520626775
7,T6_CLUSTERED,24,TAIL-JOINT,0.09691966449684372
7,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.05366075664853979
8,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.0011749310449099813
8,T4_HIGH_AMP,12,EMP-JOINT,0.20262324765206585
8,T4_HIGH_AMP,12,KDE-MC-JOINT,0.0011749310449099813
8,T4_HIGH_AMP,12,TAIL-JOINT,0.11134682304010263
8,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.025041777745693126
8,T4_HIGH_AMP,24,EMP-JOINT,0.31937261734492894
8,T4_HIGH_AMP,24,KDE-MC-JOINT,0.001250630446098578
8,T4_HIGH_AMP,24,TAIL-JOINT,0.025041777745693126
8,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.013750332659122459
8,T5_HIGH_FREQ,12,EMP-JOINT,0.09375998196579244
8,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.0629443478078604
8,T5_HIGH_FREQ,12,TAIL-JOINT,0.013750332659122459
8,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.3062846824787752
8,T5_HIGH_FREQ,24,EMP-JOINT,0.31681025005584834
8,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.1560558565340982
8,T5_HIGH_FREQ,24,TAIL-JOINT,0.3062846824787752
8,T6_CLUSTERED,12,DIAGNOSTIC-GATE,2.2072982679667845
8,T6_CLUSTERED,12,EMP-JOINT,1.9622939803408286
8,T6_CLUSTERED,12,KDE-MC-JOINT,2.2072982679667845
8,T6_CLUSTERED,12,TAIL-JOINT,1.9963875167652587
8,T6_CLUSTERED,12,TAIL-NODECLUSTER,2.2417209561561595
8,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.08095665836977053
8,T6_CLUSTERED,24,EMP-JOINT,0.5435187130978154
8,T6_CLUSTERED,24,KDE-MC-JOINT,0.15025169490272322
8,T6_CLUSTERED,24,TAIL-JOINT,0.08095665836977053
8,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.07691365831698771
9,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,5.128742035377332
9,T4_HIGH_AMP,12,EMP-JOINT,9.511676324423906
9,T4_HIGH_AMP,12,KDE-MC-JOINT,5.128742035377332
9,T4_HIGH_AMP,12,TAIL-JOINT,10.696668770899645
9,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.44685481504851965
9,T4_HIGH_AMP,24,EMP-JOINT,0.7263280786998779
9,T4_HIGH_AMP,24,KDE-MC-JOINT,0.44685481504851965
9,T4_HIGH_AMP,24,TAIL-JOINT,0.8019357750468104
9,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,7.182917550477652
9,T5_HIGH_FREQ,12,EMP-JOINT,0.3547192512967438
9,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.35367457293120086
9,T5_HIGH_FREQ,12,TAIL-JOINT,7.182917550477652
9,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.13353515820080486
9,T5_HIGH_FREQ,24,EMP-JOINT,0.10255237333717974
9,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.13353515820080486
9,T5_HIGH_FREQ,24,TAIL-JOINT,0.9134208946988038
9,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.020911762739759483
9,T6_CLUSTERED,12,EMP-JOINT,0.1882933357218471
9,T6_CLUSTERED,12,KDE-MC-JOINT,0.16729692327108334
9,T6_CLUSTERED,12,TAIL-JOINT,0.020911762739759483
9,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.019682054673861693
9,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.03171416866846659
9,T6_CLUSTERED,24,EMP-JOINT,0.06079661866228166
9,T6_CLUSTERED,24,KDE-MC-JOINT,0.028089790416044202
9,T6_CLUSTERED,24,TAIL-JOINT,0.03171416866846659
9,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.04198360410726297
10,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,5.503910164039051
10,T4_HIGH_AMP,12,EMP-JOINT,5.567967505692131
10,T4_HIGH_AMP,12,KDE-MC-JOINT,5.565876906587318
10,T4_HIGH_AMP,12,TAIL-JOINT,5.503910164039051
10,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.44986743826733455
10,T4_HIGH_AMP,24,EMP-JOINT,1.1194453594680973
10,T4_HIGH_AMP,24,KDE-MC-JOINT,0.8183097700100161
10,T4_HIGH_AMP,24,TAIL-JOINT,0.44986743826733455
10,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.1288983730064078
10,T5_HIGH_FREQ,12,EMP-JOINT,0.2749763008493054
10,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.1288983730064078
10,T5_HIGH_FREQ,12,TAIL-JOINT,0.03360584253538332
10,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.24690298956288137
10,T5_HIGH_FREQ,24,EMP-JOINT,0.4281926883722279
10,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.43122144828001374
10,T5_HIGH_FREQ,24,TAIL-JOINT,0.24690298956288137
10,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.07170307065354231
10,T6_CLUSTERED,12,EMP-JOINT,7.354726110017886e-05
10,T6_CLUSTERED,12,KDE-MC-JOINT,0.03758326028966872
10,T6_CLUSTERED,12,TAIL-JOINT,0.07170307065354231
10,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.06077587026528706
10,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.3960370506326019
10,T6_CLUSTERED,24,EMP-JOINT,0.013194519521272421
10,T6_CLUSTERED,24,KDE-MC-JOINT,0.3960370506326019
10,T6_CLUSTERED,24,TAIL-JOINT,4.149166225419064
10,T6_CLUSTERED,24,TAIL-NODECLUSTER,4.167587509635272
11,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.14746000212138727
11,T4_HIGH_AMP,12,EMP-JOINT,0.3160416512489231
11,T4_HIGH_AMP,12,KDE-MC-JOINT,0.14746000212138727
11,T4_HIGH_AMP,12,TAIL-JOINT,0.25842573944896924
11,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,1.854023036783886e-08
11,T4_HIGH_AMP,24,EMP-JOINT,0.03361430842988529
11,T4_HIGH_AMP,24,KDE-MC-JOINT,1.854023036783886e-08
11,T4_HIGH_AMP,24,TAIL-JOINT,1.4627170167634416
11,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.0002469584955821195
11,T5_HIGH_FREQ,12,EMP-JOINT,0.4726536108672681
11,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.663716649355726
11,T5_HIGH_FREQ,12,TAIL-JOINT,0.0002469584955821195
11,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.01635801629997801
11,T5_HIGH_FREQ,24,EMP-JOINT,0.1863316771291626
11,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.18471969951011047
11,T5_HIGH_FREQ,24,TAIL-JOINT,0.01635801629997801
11,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.40488613733573897
11,T6_CLUSTERED,12,EMP-JOINT,0.13358741020314563
11,T6_CLUSTERED,12,KDE-MC-JOINT,0.03607840523099621
11,T6_CLUSTERED,12,TAIL-JOINT,0.40488613733573897
11,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.4716116295456667
11,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.12341246141900117
11,T6_CLUSTERED,24,EMP-JOINT,0.8143456618263485
11,T6_CLUSTERED,24,KDE-MC-JOINT,0.44835386346566386
11,T6_CLUSTERED,24,TAIL-JOINT,0.12341246141900117
11,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.10616645775194658
12,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.1131212131165985
12,T4_HIGH_AMP,12,EMP-JOINT,0.13570746352746318
12,T4_HIGH_AMP,12,KDE-MC-JOINT,0.1131212131165985
12,T4_HIGH_AMP,12,TAIL-JOINT,0.0850883309056473
12,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.6644589906905387
12,T4_HIGH_AMP,24,EMP-JOINT,0.25106127629326597
12,T4_HIGH_AMP,24,KDE-MC-JOINT,0.6644589906905387
12,T4_HIGH_AMP,24,TAIL-JOINT,1.300929916371413e-05
12,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.04694045374801432
12,T5_HIGH_FREQ,12,EMP-JOINT,0.012717735556004783
12,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.013052727615121454
12,T5_HIGH_FREQ,12,TAIL-JOINT,0.04694045374801432
12,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,0.05642943286808639
12,T5_HIGH_FREQ,24,EMP-JOINT,0.6520422575151321
12,T5_HIGH_FREQ,24,KDE-MC-JOINT,0.5127131214220292
12,T5_HIGH_FREQ,24,TAIL-JOINT,0.05642943286808639
12,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.0374651381550887
12,T6_CLUSTERED,12,EMP-JOINT,0.04298320376449696
12,T6_CLUSTERED,12,KDE-MC-JOINT,0.06741145507388804
12,T6_CLUSTERED,12,TAIL-JOINT,0.0374651381550887
12,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.041066929482378306
12,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.001508837766618849
12,T6_CLUSTERED,24,EMP-JOINT,0.21371844003973228
12,T6_CLUSTERED,24,KDE-MC-JOINT,0.06704137168606733
12,T6_CLUSTERED,24,TAIL-JOINT,0.001508837766618849
12,T6_CLUSTERED,24,TAIL-NODECLUSTER,0.0042681929749372495
13,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,0.07501217333811148
13,T4_HIGH_AMP,12,EMP-JOINT,0.007232649280681778
13,T4_HIGH_AMP,12,KDE-MC-JOINT,0.07501217333811148
13,T4_HIGH_AMP,12,TAIL-JOINT,1.7614116254041168
13,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.09249874920374873
13,T4_HIGH_AMP,24,EMP-JOINT,0.18019835602365797
13,T4_HIGH_AMP,24,KDE-MC-JOINT,0.12504477825799643
13,T4_HIGH_AMP,24,TAIL-JOINT,0.09249874920374873
13,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,0.18464857600377466
13,T5_HIGH_FREQ,12,EMP-JOINT,1.2849912461087745
13,T5_HIGH_FREQ,12,KDE-MC-JOINT,0.18464857600377466
13,T5_HIGH_FREQ,12,TAIL-JOINT,1.2915904277438182
13,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,1.1707226532389858
13,T5_HIGH_FREQ,24,EMP-JOINT,1.5018430008035215
13,T5_HIGH_FREQ,24,KDE-MC-JOINT,1.1707226532389858
13,T5_HIGH_FREQ,24,TAIL-JOINT,2.571343476495268
13,T6_CLUSTERED,12,DIAGNOSTIC-GATE,0.07505976122885295
13,T6_CLUSTERED,12,EMP-JOINT,0.019575149144826384
13,T6_CLUSTERED,12,KDE-MC-JOINT,0.07505976122885295
13,T6_CLUSTERED,12,TAIL-JOINT,0.35949353656592387
13,T6_CLUSTERED,12,TAIL-NODECLUSTER,0.47879191655213166
13,T6_CLUSTERED,24,DIAGNOSTIC-GATE,0.2238329563728312
13,T6_CLUSTERED,24,EMP-JOINT,0.442486934681312
13,T6_CLUSTERED,24,KDE-MC-JOINT,0.2238329563728312
13,T6_CLUSTERED,24,TAIL-JOINT,1.136980082850703
13,T6_CLUSTERED,24,TAIL-NODECLUSTER,1.1457798160315353
14,T4_HIGH_AMP,12,DIAGNOSTIC-GATE,2.2089813120888808e-06
14,T4_HIGH_AMP,12,EMP-JOINT,0.006304466039878929
14,T4_HIGH_AMP,12,KDE-MC-JOINT,2.2089813120888808e-06
14,T4_HIGH_AMP,12,TAIL-JOINT,0.1055151204156441
14,T4_HIGH_AMP,24,DIAGNOSTIC-GATE,0.10301362552590984
14,T4_HIGH_AMP,24,EMP-JOINT,0.006304466039878929
14,T4_HIGH_AMP,24,KDE-MC-JOINT,8.149244306693951e-05
14,T4_HIGH_AMP,24,TAIL-JOINT,0.10301362552590984
14,T5_HIGH_FREQ,12,DIAGNOSTIC-GATE,7.8307235439940435
14,T5_HIGH_FREQ,12,EMP-JOINT,6.069701465381316
14,T5_HIGH_FREQ,12,KDE-MC-JOINT,7.231722747443861
14,T5_HIGH_FREQ,12,TAIL-JOINT,7.8307235439940435
14,T5_HIGH_FREQ,24,DIAGNOSTIC-GATE,6.162736430452056
14,T5_HIGH_FREQ,24,EMP-JOINT,1.3121523819600465
