cell_id,alpha,utilization,oracle_mode,method_id,mean_regret,p95_regret,accuracy,mean_cny
A115_U480,1.15,0.48,actual_maximum_demand,GEV,0.005627782315029069,0.0251164993267581,0.778,30032.51047668249
A115_U480,1.15,0.48,actual_maximum_demand,KDE,0.0023311710912242117,0.024990173698732413,0.908,12440.232457670825
A115_U480,1.15,0.48,actual_maximum_demand,TAIL,0.004347604431018243,0.0251164993267581,0.826,23200.87528516146
A115_U500,1.15,0.5,actual_maximum_demand,EMP,0.00798983332716422,0.03135992084924861,0.708,42637.532810074015
A115_U500,1.15,0.5,actual_maximum_demand,EVENT-EMP,0.00685924639420003,0.029861845247447207,0.746,36604.18574574785
A115_U500,1.15,0.5,actual_maximum_demand,GEV,0.006399497277854246,0.030040362376599943,0.764,34150.74682782322
A115_U500,1.15,0.5,actual_maximum_demand,KDE,0.002532829457242202,0.025159242247342735,0.905,13516.376958493554
A115_U500,1.15,0.5,actual_maximum_demand,TAIL,0.004940163372634261,0.02898488496869153,0.819,26363.050299395796
A115_U520,1.15,0.52,actual_maximum_demand,EMP,0.008222674895859624,0.03159440258081076,0.706,43880.08564168897
A115_U520,1.15,0.52,actual_maximum_demand,EVENT-EMP,0.006943530257230504,0.029861845247447207,0.746,37053.96433663582
A115_U520,1.15,0.52,actual_maximum_demand,GEV,0.0065435588639343205,0.030176047296188134,0.763,34919.527646101014
A115_U520,1.15,0.52,actual_maximum_demand,KDE,0.00254825545952617,0.025159242247342735,0.905,13598.69740894335
A115_U520,1.15,0.52,actual_maximum_demand,TAIL,0.005011437114572308,0.02898488496869153,0.819,26743.40072548645
A115_U540,1.15,0.54,actual_maximum_demand,EMP,0.008391568853922948,0.03162959390474208,0.705,44781.3837518592
A115_U540,1.15,0.54,actual_maximum_demand,EVENT-EMP,0.0071009376646379106,0.029915757732316594,0.745,37893.96477507601
A115_U540,1.15,0.54,actual_maximum_demand,GEV,0.0067021524688836084,0.03030502211420012,0.762,35765.85819613931
A115_U540,1.15,0.54,actual_maximum_demand,KDE,0.002863070274340984,0.02518894386105431,0.903,15278.698285823735
A115_U540,1.15,0.54,actual_maximum_demand,TAIL,0.005011437114572308,0.02898488496869153,0.819,26743.40072548645
A115_U560,1.15,0.56,actual_maximum_demand,EMP,0.009278804303658395,0.03248000086259639,0.697,49516.09210550422
A115_U560,1.15,0.56,actual_maximum_demand,EVENT-EMP,0.007639958828659075,0.030088866485907372,0.74,40770.43686469264
A115_U560,1.15,0.56,actual_maximum_demand,GEV,0.007473316490047628,0.031116446423784104,0.755,39881.154461774866
A115_U560,1.15,0.56,actual_maximum_demand,KDE,0.003592898316669025,0.025755725033453705,0.896,19173.40620102857
A115_U560,1.15,0.56,actual_maximum_demand,TAIL,0.005475722828858022,0.029404250569493254,0.815,29221.049077524327
A115_U580,1.15,0.58,actual_maximum_demand,EMP,0.012578989032722447,0.0775862068965519,0.65,67127.44004018205
A115_U580,1.15,0.58,actual_maximum_demand,EVENT-EMP,0.009814219912402925,0.0346999553255241,0.709,52373.32324538997
A115_U580,1.15,0.58,actual_maximum_demand,GEV,0.010656814026993451,0.0775862068965519,0.71,56869.80430267128
A115_U580,1.15,0.58,actual_maximum_demand,KDE,0.006970669252629628,0.0775862068965519,0.848,37198.79086297002
A115_U580,1.15,0.58,actual_maximum_demand,TAIL,0.0078045405628481765,0.03326381046433369,0.783,41648.722906976975
A115_U600,1.15,0.6,actual_maximum_demand,EMP,0.014859161446515544,0.0416666666666667,0.547,79295.51941365187
A115_U600,1.15,0.6,actual_maximum_demand,EVENT-EMP,0.012610196923897176,0.0416666666666667,0.61,67293.98012048278
A115_U600,1.15,0.6,actual_maximum_demand,GEV,0.013211411728142872,0.0416666666666667,0.603,70502.34691516614
A115_U600,1.15,0.6,actual_maximum_demand,KDE,0.009214922126192841,0.0416666666666667,0.745,49175.186566410375
A115_U600,1.15,0.6,actual_maximum_demand,TAIL,0.01092810378123898,0.0416666666666667,0.677,58317.53485273844
A115_U620,1.15,0.62,actual_maximum_demand,EMP,0.010848609242845218,0.03128310771353416,0.337,57893.314365252
A115_U620,1.15,0.62,actual_maximum_demand,EVENT-EMP,0.009699913026554244,0.029727884477403873,0.394,51763.32759263711
A115_U620,1.15,0.62,actual_maximum_demand,GEV,0.00930884527228413,0.029859709020611008,0.387,49676.40493469325
A115_U620,1.15,0.62,actual_maximum_demand,KDE,0.005659619746370404,0.02505648048949255,0.513,30202.41008132001
A115_U620,1.15,0.62,actual_maximum_demand,TAIL,0.007862784359303734,0.02898488496869153,0.463,41959.53937594065
A115_U640,1.15,0.64,capacity,EMP,0.014769264901890301,0.05518013491036671,0.652,76968.54384460818
A115_U640,1.15,0.64,capacity,EVENT-EMP,0.014186438747783456,0.05399753024993971,0.659,73931.20375394358
A115_U640,1.15,0.64,capacity,GEV,0.013165504426061013,0.05427013278697558,0.663,68610.70685542145
A115_U640,1.15,0.64,capacity,KDE,0.010008221066817901,0.049399438963717034,0.675,52156.84105505569
A115_U640,1.15,0.64,capacity,TAIL,0.012571279161223477,0.05368052220793999,0.672,65513.96144161496
A115_U660,1.15,0.66,capacity,EMP,0.011871075483162184,0.08765947294042821,0.858,59990.2255986068
A115_U660,1.15,0.66,capacity,EVENT-EMP,0.012018432220994439,0.08677539095802417,0.855,60734.88971590352
A115_U660,1.15,0.66,capacity,GEV,0.010783632421296655,0.08628932619625229,0.868,54494.85538556394
A115_U660,1.15,0.66,capacity,KDE,0.007813599958927957,0.08170984083689997,0.889,39485.85997437289
A115_U660,1.15,0.66,capacity,TAIL,0.009855673955267426,0.08660803852693828,0.883,49805.43716038374
A115_U680,1.15,0.68,capacity,EMP,0.0065554616859689495,0.11440040847442151,0.946,32153.535605661487
A115_U680,1.15,0.68,capacity,EVENT-EMP,0.005719921720104053,0.0,0.953,28055.340035410176
A115_U680,1.15,0.68,capacity,GEV,0.005329890722130926,0.0,0.956,26142.297723305357
