replication_id,method_id,information_set,q99_relative_error,mean_relative_error,estimated_q99_kw,fit_status
533,GEV,monthly_maxima,-0.0308374299598742,-0.0190764229205019,257470.64554333923,PASS_LMOM_FINITE_MEAN
533,KDE,monthly_maxima,-0.1024533854575351,-0.019076407192608801,238444.93524127672,PASS
533,EMP,monthly_maxima,-0.15388997645152991,-0.019076407192792001,224780.13565329404,PASS
534,TAIL,event_level,-0.18109792895549351,-0.058335414650678902,217551.98909495349,PASS
534,EVENT-EMP,event_level,-0.22408229744089431,-0.049977113544785998,206132.63237985599,PASS
534,GEV,monthly_maxima,-0.1746146967083346,-0.0512780678969324,219274.34408831049,PASS_LMOM_FINITE_MEAN
534,KDE,monthly_maxima,-0.18747439695500731,-0.051278067896934398,215857.99741298697,PASS
534,EMP,monthly_maxima,-0.22408229744089431,-0.0512780678969346,206132.63237985599,PASS
535,TAIL,event_level,0.18117768370325049,0.055883435717967701,313795.21880613983,PASS
535,EVENT-EMP,event_level,-0.16156850850764329,0.0342827235592673,222740.23371482885,PASS
535,GEV,monthly_maxima,0.027620841252023499,0.034390799288849999,273000.84583331924,PASS_LMOM_FINITE_MEAN
535,KDE,monthly_maxima,-0.094452188973520604,0.034390809614289003,240570.55718288041,PASS
535,EMP,monthly_maxima,-0.16156850850764329,0.034390809614249,222740.23371482885,PASS
536,TAIL,event_level,0.093505887147963193,0.024235971849209201,290504.06544050842,PASS
536,EVENT-EMP,event_level,-0.026126781635537399,0.038948370570201403,258722.09055626875,PASS
536,GEV,monthly_maxima,0.28767876470922848,0.033934223389261997,342088.61655522679,PASS_LMOM_FINITE_MEAN
536,KDE,monthly_maxima,0.081243557370920205,0.033969854131483103,287246.41800223611,PASS
536,EMP,monthly_maxima,-0.026126781635537399,0.033969627834629701,258722.09055626875,PASS
537,TAIL,event_level,-0.026864864209108399,0.016982120176094202,258526.00931813987,PASS
537,EVENT-EMP,event_level,-0.1309736300838365,0.0161171181297734,230868.16120770693,PASS
537,GEV,monthly_maxima,-0.045243376191696202,0.0202476812704891,253643.51850538905,PASS_LMOM_FINITE_MEAN
537,KDE,monthly_maxima,-0.086578813824438994,0.020247681273459401,242662.22172390265,PASS
537,EMP,monthly_maxima,-0.1309736300838365,0.0202476812733338,230868.16120770693,PASS
538,TAIL,event_level,0.31264196008110912,0.063077948465370307,348720.41417712264,PASS
538,EVENT-EMP,event_level,-0.078909561745731702,0.040473427827389101,244699.65831563729,PASS
538,GEV,monthly_maxima,0.1388662234065644,0.055397372795699201,302554.62890591484,PASS_LMOM_FINITE_MEAN
538,KDE,monthly_maxima,0.0023928459910503002,0.055399031182458203,266298.7006758374,PASS
538,EMP,monthly_maxima,-0.078909561745731702,0.055399031040460997,244699.65831563729,PASS
539,TAIL,event_level,-0.14495969146402571,-0.035633608119815301,227152.58204329805,PASS
539,EVENT-EMP,event_level,-0.15132363159776691,-0.031571401047941497,225461.91855186163,PASS
539,GEV,monthly_maxima,-0.051582763857037001,-0.0073608690833302003,251959.37769661105,PASS_LMOM_FINITE_MEAN
539,KDE,monthly_maxima,-0.1087345453650851,-0.0073608562018462002,236776.26339389937,PASS
539,EMP,monthly_maxima,-0.15132363159776691,-0.0073608562018466,225461.91855186163,PASS
540,TAIL,event_level,-0.058257581129257802,-0.035149030812697803,250186.12564882365,PASS
540,EVENT-EMP,event_level,-0.25370695741650701,-0.036636717310127097,198262.45604028972,PASS
540,GEV,monthly_maxima,-0.10658447172317401,-0.040321403950653201,237347.45842934697,PASS_LMOM_FINITE_MEAN
540,KDE,monthly_maxima,-0.18960287838364509,-0.040321403950632197,215292.53862991027,PASS
540,EMP,monthly_maxima,-0.25370695741650701,-0.040321403950653999,198262.45604028972,PASS
541,TAIL,event_level,-0.063928107015287602,-0.0148388089038234,248679.67667361625,PASS
541,EVENT-EMP,event_level,-0.14560346482882641,-0.012845090851981799,226981.5552734425,PASS
541,GEV,monthly_maxima,-0.050849067809161298,-0.0083834009564402005,252154.29359712012,PASS_LMOM_FINITE_MEAN
541,KDE,monthly_maxima,-0.093323196021559099,-0.0083834009523345993,240870.4888487756,PASS
541,EMP,monthly_maxima,-0.14560346482882641,-0.0083834009564071992,226981.5552734425,PASS
542,TAIL,event_level,-0.19099060728329731,-0.033793072471355198,214923.87039335445,PASS
542,EVENT-EMP,event_level,-0.2308094768131792,-0.033810802412069699,204345.46965895523,PASS
542,GEV,monthly_maxima,-0.1663470580362858,-0.017407013795048099,221470.74986358039,PASS_LMOM_FINITE_MEAN
542,KDE,monthly_maxima,-0.19862980179619261,-0.017407013794782301,212894.41898502689,PASS
542,EMP,monthly_maxima,-0.2308094768131792,-0.0174070137947826,204345.46965895523,PASS
543,TAIL,event_level,-0.088992800493782998,-0.030923372158420299,242020.91475920705,PASS
543,EVENT-EMP,event_level,0.0243356037816756,-0.023258928560568101,272128.07975835761,PASS
543,GEV,monthly_maxima,0.094559387987839194,-0.014361982562371299,290783.9416446751,PASS_LMOM_FINITE_MEAN
543,KDE,monthly_maxima,0.077803061461551498,-0.0143603896191251,286332.40550303517,PASS
543,EMP,monthly_maxima,0.0243356037816756,-0.0143603939053689,272128.07975835761,PASS
544,TAIL,event_level,-0.036626086475338403,0.00093523909499759999,255932.81362954224,PASS
544,EVENT-EMP,event_level,-0.037015457135936701,-0.0056171383553972002,255829.3722478392,PASS
544,GEV,monthly_maxima,0.036460202957166503,-0.020747457208173999,275349.13727045141,PASS_LMOM_FINITE_MEAN
544,KDE,monthly_maxima,0.0107363331516067,-0.020745792955257299,268515.25658886868,PASS
544,EMP,monthly_maxima,-0.037015457135936701,-0.020745793009537699,255829.3722478392,PASS
545,TAIL,event_level,-0.16129018119723751,-0.014493821629788,222814.17498587849,PASS
545,EVENT-EMP,event_level,-0.31821156556647762,-0.0108510532934899,181125.96767982256,PASS
545,GEV,monthly_maxima,-0.25915498368482792,-0.0035123850351354998,196815.11698324839,PASS_LMOM_FINITE_MEAN
545,KDE,monthly_maxima,-0.251102780479107,-0.0035123850364256002,198954.28952407124,PASS
545,EMP,monthly_maxima,-0.31821156556647762,-0.0035123850364258001,181125.96767982256,PASS
546,TAIL,event_level,0.4204198709093076,0.051896117360720598,377353.01838004793,PASS
546,EVENT-EMP,event_level,0.021460910973451201,0.041059101540105197,271364.38021407818,PASS
546,GEV,monthly_maxima,0.35538664963195882,0.031800696742714497,360076.09706503199,PASS_LMOM_FINITE_MEAN
546,KDE,monthly_maxima,0.097581176630225697,0.032115100153503398,291586.71911101759,PASS
546,EMP,monthly_maxima,0.021460910973451201,0.032114973008720002,271364.38021407818,PASS
547,TAIL,event_level,0.061179627853443101,0.045403505702984903,281916.1740940474,PASS
547,EVENT-EMP,event_level,1.350622266712834,0.1066623335553742,624473.38676528051,PASS
547,GEV,monthly_maxima,1.1419787143756703,0.074919590807968797,569044.51263275917,PASS_LMOM_FINITE_MEAN
547,KDE,monthly_maxima,1.5054335434426542,0.1136329952744123,665601.01652440859,PASS
547,EMP,monthly_maxima,1.350622266712834,0.10032278023953729,624473.38676528051,PASS
548,TAIL,event_level,-0.19084812143346469,-0.054872038206683599,214961.72361310443,PASS
548,EVENT-EMP,event_level,-0.20248421212569151,-0.053748148869748102,211870.44473508871,PASS
548,GEV,monthly_maxima,-0.17772050473501599,-0.059275985837876299,218449.24577943733,PASS_LMOM_FINITE_MEAN
548,KDE,monthly_maxima,-0.16696686614583059,-0.059275985837876702,221306.08977557169,PASS
548,EMP,monthly_maxima,-0.20248421212569151,-0.059275985837876702,211870.44473508871,PASS
549,TAIL,event_level,-0.1342154914004054,-0.031256365932725398,230006.91857232081,PASS
549,EVENT-EMP,event_level,-0.32060390486730889,-0.039227980199728903,180490.41162020483,PASS
549,GEV,monthly_maxima,-0.27366721722175302,-0.027360412436026701,192959.75333989892,PASS_LMOM_FINITE_MEAN
549,KDE,monthly_maxima,-0.2782829177045153,-0.027360412436013101,191733.53245635587,PASS
549,EMP,monthly_maxima,-0.32060390486730889,-0.027360412436013101,180490.41162020483,PASS
550,TAIL,event_level,-0.0135426318689467,-0.00030578806448089998,262065.2336616448,PASS
550,EVENT-EMP,event_level,-0.24275443098992661,-0.0026412963160111001,201172.13717796039,PASS
550,GEV,monthly_maxima,-0.1368946881467677,0.015806936815222099,229295.15510028024,PASS_LMOM_FINITE_MEAN
550,KDE,monthly_maxima,-0.1796556453636175,0.0158069368152217,217935.15049525551,PASS
550,EMP,monthly_maxima,-0.24275443098992661,0.0158069368152217,201172.13717796039,PASS
551,TAIL,event_level,0.47079744526217421,0.1115722211156467,390736.47641950048,PASS
551,EVENT-EMP,event_level,1.1106332370031049,0.12398723298003229,560717.17876384547,PASS
551,GEV,monthly_maxima,0.81960179356538165,0.13620224369966219,483400.8894933901,PASS_LMOM_FINITE_MEAN
551,KDE,monthly_maxima,1.2400114868286969,0.14237168104357681,595088.19404199789,PASS
551,EMP,monthly_maxima,1.1106332370031049,0.13963506282931909,560717.17876384547,PASS
552,TAIL,event_level,0.0046517023311535999,-0.013674536143415499,266898.79525032348,PASS
552,EVENT-EMP,event_level,-0.082781230224001995,-0.013943014345774,243671.09921394932,PASS
552,GEV,monthly_maxima,-0.0074906854512930996,-0.013163884718487499,263673.01196336193,PASS_LMOM_FINITE_MEAN
552,KDE,monthly_maxima,-0.038654002229231897,-0.0131637912784376,255394.07142632152,PASS
552,EMP,monthly_maxima,-0.082781230224001995,-0.0131637912789382,243671.09921394932,PASS
553,TAIL,event_level,0.081532924794787895,0.010922060135075099,287323.29222305887,PASS
553,EVENT-EMP,event_level,0.0646069348698909,0.014451529615383599,282826.6827922563,PASS
553,GEV,monthly_maxima,0.16603539871306339,0.0161719700928744,309772.47379725729,PASS_LMOM_FINITE_MEAN
553,KDE,monthly_maxima,0.12025131209182879,0.016190264153533099,297609.33553502191,PASS
553,EMP,monthly_maxima,0.0646069348698909,0.016190257359266099,282826.6827922563,PASS
554,TAIL,event_level,-0.0062997547391144002,0.0058267341432063002,263989.39820106962,PASS
554,EVENT-EMP,event_level,-0.099514063381280604,0.0019650011957320999,239225.80439143561,PASS
554,GEV,monthly_maxima,0.074343975980767404,0.0074335134698446997,285413.45444233727,PASS_LMOM_FINITE_MEAN
554,KDE,monthly_maxima,-0.0531125364963164,0.0074374261693515003,251552.97369263312,PASS
554,EMP,monthly_maxima,-0.099514063381280604,0.0074374261690845003,239225.80439143561,PASS
555,TAIL,event_level,0.016159183244205601,-0.023363358333195298,269955.90726728726,PASS
555,EVENT-EMP,event_level,-0.17505779885468381,-0.025541700552571999,219156.6282383707,PASS
555,GEV,monthly_maxima,-0.059782873007580402,-0.0078921429400796005,249780.91201728868,PASS_LMOM_FINITE_MEAN
555,KDE,monthly_maxima,-0.1173445659437463,-0.0078921429350930997,234488.89941074679,PASS
555,EMP,monthly_maxima,-0.17505779885468381,-0.0078921429400804002,219156.6282383707,PASS
556,TAIL,event_level,-0.1222763782090559,-0.046657502798953802,233178.69931955345,PASS
556,EVENT-EMP,event_level,-0.034456961049597203,-0.0468788119777898,256509.07001922809,PASS
556,GEV,monthly_maxima,-0.1271819897715514,-0.039750356258863397,231875.4597859339,PASS_LMOM_FINITE_MEAN
556,KDE,monthly_maxima,0.0097197159531376004,-0.0397503561448731,268245.17900389811,PASS
556,EMP,monthly_maxima,-0.034456961049597203,-0.039750356258860801,256509.07001922809,PASS
557,TAIL,event_level,0.0141125589495712,-0.018248004515095399,269412.19489682047,PASS
557,EVENT-EMP,event_level,-0.1114323197236441,-0.019583891303008302,236059.56453748388,PASS
557,GEV,monthly_maxima,-0.13484608227109091,-0.0071810464061297999,229839.39390353131,PASS_LMOM_FINITE_MEAN
557,KDE,monthly_maxima,-0.068827713167569304,-0.0071810464055674997,247378.03255535048,PASS
557,EMP,monthly_maxima,-0.1114323197236441,-0.0071810464061294,236059.56453748388,PASS
558,TAIL,event_level,-0.092065491158916699,-0.0434273473143112,241204.61450828609,PASS
558,EVENT-EMP,event_level,-0.2270326784386012,-0.0592806540467452,205348.82528333657,PASS
558,GEV,monthly_maxima,-0.1292707685543969,-0.065850946390696705,231320.54852724363,PASS_LMOM_FINITE_MEAN
558,KDE,monthly_maxima,-0.18959461265323391,-0.065850946347503506,215294.73452873121,PASS
558,EMP,monthly_maxima,-0.2270326784386012,-0.065850946347503894,205348.82528333657,PASS
559,TAIL,event_level,0.0160770764235342,0.0033135320622542002,269934.09452216554,PASS
559,EVENT-EMP,event_level,-0.1495163397887469,0.0074129077784826003,225942.0491338076,PASS
559,GEV,monthly_maxima,0.047114158853924601,0.028175958518870801,278179.49926246994,PASS_LMOM_FINITE_MEAN
