comparison_type,one_to_one_matching,mode_left,mode_right,pair_rank_within_mode_pair,method_id,cell_left,cell_right,relative_margin_gap,left_action_accuracy,left_absolute_regret_mean_cny,left_absolute_regret_p95_cny,left_regret_over_oracle_mean,left_regret_over_capacity_mean,left_d_mv_mean,right_action_accuracy,right_absolute_regret_mean_cny,right_absolute_regret_p95_cny,right_regret_over_oracle_mean,right_regret_over_capacity_mean,right_d_mv_mean
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,7,EVENT-EMP,A120_U440,A120_U600,0.232468361910305,0.617,18262.382212368466,46365.25905089639,0.0034221818294166745,0.0024092160079093434,10.888592971196596,0.711,57536.1286710215,282761.3280466851,0.01090512106084604,0.010350409279136236,9.574897582962718
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,7,GEV,A120_U440,A120_U600,0.232468361910305,0.655,16133.704269866477,46365.25905089639,0.0030232895660307567,0.0021283958544856562,11.212615760763407,0.655,63870.23688017539,282761.3280466851,0.012105657461692069,0.011489877886034354,9.833678945625858
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,7,KDE,A120_U440,A120_U600,0.232468361910305,0.791,9690.339141637345,46365.25905089639,0.0018158694821827231,0.0012783721154566393,13.106658073779318,0.417,75830.18822135091,282761.3280466851,0.014372489107649449,0.01364140240113558,11.498316237115208
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,7,TAIL,A120_U440,A120_U600,0.232468361910305,0.776,10385.818027400792,46365.25905089639,0.001946195043104928,0.001370121310345872,9.737404319204533,0.719,54591.867023130464,282761.3280466851,0.010347079870959222,0.009820754021049937,9.094814330044231
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,8,EMP,A120_U440,A120_U620,0.232468361910305,0.618,17821.0502551227,46365.25905089639,0.0033394807783016403,0.002350994467924359,11.397776192848207,0.621,50108.80965919276,103444.34640622605,0.009497382743159933,0.009314754464557406,9.970385142564455
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,8,EVENT-EMP,A120_U440,A120_U620,0.232468361910305,0.617,18262.382212368466,46365.25905089639,0.0034221818294166745,0.0024092160079093434,10.888592971196596,0.648,43428.0337435421,103444.34640622605,0.00823114061280873,0.008072861318217252,9.574897582962718
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,8,GEV,A120_U440,A120_U620,0.232468361910305,0.655,16133.704269866477,46365.25905089639,0.0030232895660307567,0.0021283958544856562,11.212615760763407,0.596,47161.624940338545,103444.34640622605,0.008938787528463674,0.008766900659916357,9.833678945625858
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,8,KDE,A120_U440,A120_U620,0.232468361910305,0.791,9690.339141637345,46365.25905089639,0.0018158694821827231,0.0012783721154566393,13.106658073779318,0.4,56344.90367322722,103444.34640622605,0.010679342004943127,0.01047398544517143,11.498316237115208
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,8,TAIL,A120_U440,A120_U620,0.232468361910305,0.776,10385.818027400792,46365.25905089639,0.001946195043104928,0.001370121310345872,9.737404319204533,0.657,40671.69079111073,103444.34640622605,0.007708716628509397,0.0075604831955551136,9.094814330044231
nearest_gap_descriptive,False,actual_maximum_demand,contracted_maximum_demand,9,EMP,A105_U620,A120_U480,0.2617124506652086,0.604,17042.28593510914,43036.075593709946,0.0031935483870967514,0.0031679999999999603,14.482599319503363,0.692,22876.31237651552,58291.75316919014,0.004334127550268207,0.003292250644782237,10.000110164220564
