prefix_replications,method_id,cell_id,metric,estimate,mcse,normal_ci95_low,normal_ci95_high,replications
400,GEV,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.56,0.024850429767895824,0.5112931576549242,0.6087068423450759,400
600,GEV,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.56,0.020281820770243,0.5202476312903238,0.5997523687096763,600
800,GEV,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.54625,0.017612891281647197,0.5117287330879715,0.5807712669120285,800
1000,GEV,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.543,0.0157606915901365,0.5121090444833325,0.5738909555166676,1000
100,GEV,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.55,0.05,0.45200000000000007,0.648,100
200,GEV,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.54,0.035330457200978174,0.4707523038860828,0.6092476961139173,200
400,GEV,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.565,0.024818892876375905,0.5163549699623031,0.6136450300376968,400
600,GEV,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.5366666666666666,0.020374439597383734,0.4967327650557945,0.5766005682775387,600
800,GEV,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.53375,0.017648385301627267,0.4991591648088105,0.5683408351911894,800
1000,GEV,STRESS_CONTRACT_NEAR_LOW,action_accuracy,0.527,0.01579621855130273,0.49603941163944665,0.5579605883605534,1000
100,KDE,BASE_ACTUAL_NEAR,action_accuracy,0.6,0.0492365963917331,0.5034962710722031,0.6965037289277969,100
200,KDE,BASE_ACTUAL_NEAR,action_accuracy,0.625,0.03431856376795913,0.5577356150148001,0.6922643849851999,200
400,KDE,BASE_ACTUAL_NEAR,action_accuracy,0.6175,0.024330316186073,0.569812580275297,0.6651874197247031,400
600,KDE,BASE_ACTUAL_NEAR,action_accuracy,0.6166666666666667,0.019865528271455254,0.5777302312546144,0.655603102078719,600
800,KDE,BASE_ACTUAL_NEAR,action_accuracy,0.60125,0.01732225801254896,0.567298374295404,0.6352016257045959,800
1000,KDE,BASE_ACTUAL_NEAR,action_accuracy,0.604,0.015473313265859495,0.5736723059989154,0.6343276940010846,1000
100,KDE,BASE_CAPACITY_NEAR,action_accuracy,0.52,0.05021167315686782,0.42158512061253905,0.618414879387461,100
200,KDE,BASE_CAPACITY_NEAR,action_accuracy,0.495,0.035442288003096976,0.4255331155139299,0.5644668844860701,200
400,KDE,BASE_CAPACITY_NEAR,action_accuracy,0.5175,0.025015972341295295,0.4684686942110612,0.5665313057889387,400
600,KDE,BASE_CAPACITY_NEAR,action_accuracy,0.5283333333333333,0.020396619176391666,0.48835595974760565,0.5683107069190609,600
800,KDE,BASE_CAPACITY_NEAR,action_accuracy,0.535,0.017645337838485632,0.5004151378365682,0.5695848621634318,800
1000,KDE,BASE_CAPACITY_NEAR,action_accuracy,0.531,0.015788865959538965,0.5000538227193037,0.5619461772806964,1000
100,KDE,STRESS_ACTUAL_CLEAR,action_accuracy,1.0,0.0,1.0,1.0,100
200,KDE,STRESS_ACTUAL_CLEAR,action_accuracy,1.0,0.0,1.0,1.0,200
400,KDE,STRESS_ACTUAL_CLEAR,action_accuracy,0.9975,0.0025,0.9926,1.0024,400
600,KDE,STRESS_ACTUAL_CLEAR,action_accuracy,0.9983333333333333,0.0016666666666666668,0.9950666666666667,1.0016,600
800,KDE,STRESS_ACTUAL_CLEAR,action_accuracy,0.99875,0.0012500000000000002,0.9963000000000001,1.0012,800
1000,KDE,STRESS_ACTUAL_CLEAR,action_accuracy,0.998,0.0014135055705578234,0.9952295290817067,1.0007704709182934,1000
100,KDE,STRESS_ACTUAL_NEAR,action_accuracy,0.73,0.044619604333847374,0.6425455755056592,0.8174544244943408,100
200,KDE,STRESS_ACTUAL_NEAR,action_accuracy,0.735,0.0312852815908872,0.6736808480818611,0.7963191519181388,200
400,KDE,STRESS_ACTUAL_NEAR,action_accuracy,0.705,0.02283069428431294,0.6602518392027465,0.7497481607972534,400
600,KDE,STRESS_ACTUAL_NEAR,action_accuracy,0.7183333333333334,0.01837880736590147,0.6823108708961665,0.7543557957705003,600
800,KDE,STRESS_ACTUAL_NEAR,action_accuracy,0.7075,0.016093583870668855,0.6759565756134891,0.7390434243865109,800
1000,KDE,STRESS_ACTUAL_NEAR,action_accuracy,0.713,0.014312087053810001,0.6849483093745323,0.7410516906254676,1000
100,KDE,STRESS_CAPACITY_CLEAR,action_accuracy,0.96,0.01969463855669324,0.9213985084288812,0.9986014915711188,100
200,KDE,STRESS_CAPACITY_CLEAR,action_accuracy,0.965,0.013027801736688055,0.9394655085960913,0.9905344914039086,200
400,KDE,STRESS_CAPACITY_CLEAR,action_accuracy,0.975,0.007816023641463079,0.9596805936627324,0.9903194063372676,400
600,KDE,STRESS_CAPACITY_CLEAR,action_accuracy,0.9766666666666667,0.006168053958167541,0.9645772809086584,0.988756052424675,600
800,KDE,STRESS_CAPACITY_CLEAR,action_accuracy,0.97125,0.005911681812506099,0.959663103647488,0.9828368963525119,800
1000,KDE,STRESS_CAPACITY_CLEAR,action_accuracy,0.969,0.005483527064679181,0.9582522869532287,0.9797477130467712,1000
100,KDE,STRESS_CAPACITY_NEAR,action_accuracy,0.52,0.05021167315686782,0.42158512061253905,0.618414879387461,100
200,KDE,STRESS_CAPACITY_NEAR,action_accuracy,0.52,0.03541569365103442,0.4505852404439725,0.5894147595560275,200
400,KDE,STRESS_CAPACITY_NEAR,action_accuracy,0.52,0.025011275652681852,0.4709778997207436,0.5690221002792565,400
600,KDE,STRESS_CAPACITY_NEAR,action_accuracy,0.52,0.02041309606154907,0.47999033171936384,0.5600096682806361,600
800,KDE,STRESS_CAPACITY_NEAR,action_accuracy,0.53625,0.017642179003030455,0.5016713291540603,0.5708286708459397,800
1000,KDE,STRESS_CAPACITY_NEAR,action_accuracy,0.536,0.015778243024904673,0.5050746436711868,0.5669253563288132,1000
100,KDE,STRESS_CONTRACT_CLEAR,action_accuracy,0.4,0.0492365963917331,0.30349627107220317,0.4965037289277969,100
200,KDE,STRESS_CONTRACT_CLEAR,action_accuracy,0.385,0.03449382728261703,0.31739209852607064,0.4526079014739294,200
400,KDE,STRESS_CONTRACT_CLEAR,action_accuracy,0.4075,0.024599231297972052,0.35928550665597475,0.4557144933440252,400
600,KDE,STRESS_CONTRACT_CLEAR,action_accuracy,0.3983333333333333,0.020002666303442974,0.3591281073785851,0.43753855928808155,600
800,KDE,STRESS_CONTRACT_CLEAR,action_accuracy,0.39,0.01725535232847985,0.3561795094361795,0.42382049056382054,800
1000,KDE,STRESS_CONTRACT_CLEAR,action_accuracy,0.389,0.01542455564730851,0.3587678709312753,0.4192321290687247,1000
100,KDE,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.38,0.048783173121456344,0.28438498068194557,0.47561501931805444,100
200,KDE,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.365,0.034127679271557736,0.29810974862774686,0.4318902513722531,200
400,KDE,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.3825,0.024330316186072995,0.3348125802752969,0.4301874197247031,400
600,KDE,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.38,0.01983235244928821,0.3411285891993951,0.4188714108006049,600
800,KDE,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.37125,0.017092234420105514,0.33774922053659323,0.4047507794634068,800
1000,KDE,STRESS_CONTRACT_NEAR_HIGH,action_accuracy,0.37,0.015275252316519466,0.34006050545962185,0.39993949454037814,1000
